Company,Date,Field,Latitude,Longitude,State,Progress,Era
HB Fuller,9/18/2016,General,45.045,-93.05,Minnesota,Online,Blissful Ignorance
Stratasys,9/19/2016,CEMS,44.86,-93.46,Minnesota,Online,Blissful Ignorance
Brady Corp,9/19/2016,General,44.98,-93.4,Minnesota,Online,Blissful Ignorance
Boston Scientific,9/30/2016,CEMS,45.1,-93.46,Minnesota,Online,Blissful Ignorance
Medtronic,10/26/2016,CEMS,45.03,-93.4,Minnesota,Online,Blissful Ignorance
Life-Core Biomedical,11/22/2016,CEMS,44.85,-93.6,Minnesota,Online,Blissful Ignorance
C.R. Bard International,11/22/2016,CEMS,44.96,-93.36,Minnesota,Online,Blissful Ignorance
Valspar,11/23/2016,CEMS,44.97,-93.27,Minnesota,Online,Blissful Ignorance
Kelly Career Netwrok,5/25/2017,Recruiter,,,,Online,Engineering Confidence
Abbott,5/25/2017,CEMS,45.05,-93.4,Minnesota,Online,Engineering Confidence
Interplastic Corp,5/26/2017,CEMS,45,-93.23,Minnesota,Online,Engineering Confidence
"Inside Talent, Inc.",5/27/2017,Recruiter,,,,Online,Engineering Confidence
George Kronik Associates,5/27/2017,Recruiter,,,,Online,Engineering Confidence
Maxxon Corp.,7/2/2017,CEMS,45.04,-93.54,Minnesota,Online,Engineering Confidence
Medtronic,7/2/2017,CEMS,45.07,-93.25,Minnesota,Online,Engineering Confidence
Stratasys,7/2/2017,CEMS,44.86,-93.46,Minnesota,Online,Engineering Confidence
Bimeda,7/2/2017,CEMS,44.47,-93.9,Minnesota,Online,Engineering Confidence
Michael Foods,7/2/2017,CEMS,44.57,-94.2,Minnesota,Online,Engineering Confidence
3M,7/2/2017,CEMS,44.95,-92.99,Minnesota,Online,Engineering Confidence
3M,7/2/2017,CEMS,44.95,-92.99,Minnesota,Online,Engineering Confidence
Promega,7/2/2017,CEMS,43.05,-89.3,Wisconsin,Online,Engineering Confidence
Exact Sciences,7/2/2017,CEMS,43.06,-89.47,Wisconsin,Online,Engineering Confidence
Covance,7/2/2017,CEMS,43.12,-89.33,Wisconsin,Online,Engineering Confidence
PPD,7/2/2017,CEMS,43.1,-89.54,Wisconsin,Online,Engineering Confidence
Arrowhead Pharmaceuticals,7/6/2017,CEMS,43.06,-89.48,Wisconsin,Online,Engineering Confidence
Bell International Labs,7/6/2017,CEMS,44.85,-93.14,Minnesota,Online,Engineering Confidence
Bell International Labs,7/6/2017,CEMS,44.85,-93.14,Minnesota,Online,Engineering Confidence
Baxter International,7/6/2017,CEMS,42.19,-88.05,Illinois,Online,Engineering Confidence
Arrowhead Pharmaceuticals,7/7/2017,CEMS,43.06,-89.48,Wisconsin,Online,Engineering Confidence
Flint,7/11/2017,CEMS,41.86,-88.28,Illinois,Online,Engineering Confidence
Dow,7/11/2017,CEMS,43.6,-88.23,Michigan,Online,Engineering Confidence
KLA-Tencor,7/11/2017,CEMS,44.87,-93.32,Minnesota,Online,Engineering Confidence
Bayer,7/12/2017,CEMS,44.78,-93.46,Minnesota,Online,Engineering Confidence
Dow,8/8/2017,CEMS,43.6,-88.23,Michigan,Interview,Engineering Confidence
Dupont,8/16/2017,CEMS,39.73,-121.88,California,Online,Engineering Confidence
PPD,8/16/2017,CEMS,43.1,-89.54,Wisconsin,Online,Engineering Confidence
General Mills,8/16/2017,CEMS,44.97,-93.4,Minnesota,Online,Engineering Confidence
Pfizer,8/16/2017,CEMS,42.25,-87.89,Illinois,Online,Engineering Confidence
CyberCoders,8/16/2017,General,,,,Online,Engineering Confidence
Covance,8/16/2017,CEMS,43.12,-89.33,Wisconsin,Online,Engineering Confidence
EInk,8/16/2017,General,,,,Online,Engineering Confidence
Dow,9/13/2017,CEMS,43.6,-88.23,Michigan,Online,Engineering Confidence
Micron,9/14/2017,CEMS,43.52,-116.14,Idaho,Onsite,Engineering Confidence
ExxonMobil,9/15/2017,CEMS,29.86,-95.54,Texas,Interview,Engineering Confidence
Praxair,9/15/2017,CEMS,42.96,-78.9,New York,Interview,Engineering Confidence
3M,9/16/2017,CEMS,44.95,-92.99,Minnesota,Online,Engineering Confidence
PolyOne,9/18/2017,CEMS,44.84,-93.14,Minnesota,Online,Engineering Confidence
Seagate,11/5/2017,CEMS,44.86,-93.34,Minnesota,Online,Engineering Confidence
Covance,11/5/2017,CEMS,43.12,-89.33,Wisconsin,Online,Engineering Confidence
Evonik,11/5/2017,CEMS,30.51,-88.14,Alabama,Online,Engineering Confidence
Boston Scientific,11/5/2017,CEMS,45.1,-93.47,Minnesota,Online,Engineering Confidence
Bayer,11/5/2017,CEMS,38.65,-90.39,Missouri,Online,Engineering Confidence
HB Fuller,11/6/2017,CEMS,45.04,-93.05,Minnesota,Online,Engineering Confidence
Valspar,11/6/2017,CEMS,44.97,-93.27,Minnesota,Online,Engineering Confidence
Ecolab,11/12/2017,CEMS,44.94,-93.09,Minnesota,Online,Engineering Confidence
Ginkgo's,11/12/2017,CEMS,42.34,-71.03,Massachusetts,Online,Engineering Confidence
3M,11/12/2017,CEMS,44.95,-92.99,Minnesota,Online,Engineering Confidence
3M,11/12/2017,CEMS,44.95,-92.99,Minnesota,Online,Engineering Confidence
Anaren,11/12/2017,CEMS,43.07,-76,New York,Online,Engineering Confidence
Promega,11/13/2017,CEMS,43,-89.43,Wisconsin,Online,Engineering Confidence
Promega,11/13/2017,CEMS,43,-89.43,Wisconsin,Online,Engineering Confidence
Intel,11/13/2017,CEMS,45.53,-122.92,Oregon,Online,Engineering Confidence
Intel,11/13/2017,CEMS,45.53,-122.92,Oregon,Online,Engineering Confidence
Intel,11/13/2017,CEMS,45.53,-122.92,Oregon,Online,Engineering Confidence
Understory,11/14/2017,CEMS,43.05,-89.3,Wisconsin,Online,Engineering Confidence
Johnson Controls,11/14/2017,CEMS,41.85,-87.9,Illinois,Online,Engineering Confidence
APLOMB,11/14/2017,CEMS,40.36,-74.6,New Jersey,Online,Engineering Confidence
Strike Social,11/14/2017,CEMS,41.82,-87.64,Illinois,Online,Engineering Confidence
AbbVie,11/14/2017,CEMS,42.3,-87.89,Illinois,Online,Engineering Confidence
LogRhythm,11/14/2017,CEMS,40.02,-105.26,Colorado,Online,Engineering Confidence
Zurich,11/14/2017,Data Science,41.88,-87.64,Illinois,Online,Engineering Confidence
SEAGATE,11/19/2017,CEMS,44.86,-93.34,Minnesota,Online,Engineering Confidence
IRI,6/8/2018,Data Science,41.88,-87.6,Illinois,Online,Data Science Desperation
Crowe,6/8/2018,Data Science,41.84,-87.9,Illinois,Online,Data Science Desperation
CSC Generation,6/8/2018,Data Science,41.47,-87.35,Indiana,Online,Data Science Desperation
Allegion,6/11/2018,Data Science,39.96,-86.15,Indiana,Online,Data Science Desperation
Robert Half Technology,6/11/2018,Data Science,41.89,-87.62,Illinois,Online,Data Science Desperation
Ascension,6/11/2018,Data Science,39.77,-86.15,Indiana,Online,Data Science Desperation
Pegasus,6/11/2018,Data Science,41.83,-87.94,Illinois,Online,Data Science Desperation
Sterling Engineering,6/11/2018,General,,,,Online,Data Science Desperation
Maven,6/11/2018,Data Science,41.96,-87.71,Illinois,Online,Data Science Desperation
Groupon,6/12/2018,Data Science,41.9,-87.64,Illinois,Online,Data Science Desperation
Eli Lilly,6/12/2018,Data Science,39.76,-86.16,Indiana,Online,Data Science Desperation
PSM Partners,6/12/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
Stefanini,6/13/2018,Data Science,42.84,-83.32,Michigan,Online,Data Science Desperation
Performics,6/13/2018,Data Science,41.88,-87.63,Illinois,Online,Data Science Desperation
Nielsen,6/13/2018,Data Science,41.88,-87.63,Illinois,Online,Data Science Desperation
Conversant,6/15/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
Trading Technologies,6/15/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
Performics,6/15/2018,Data Science,41.88,-87.63,Illinois,Online,Data Science Desperation
Synchrony,6/15/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
ThoughtWorks,6/15/2018,Data Science,41.88,-87.62,Illinois,Online,Data Science Desperation
Geneic Recruit,6/18/2018,General,,,,Online,Data Science Desperation
"Nexant, Inc.",6/18/2018,Data Science,41.8,-87.92,Illinois,Online,Data Science Desperation
Job Spring Partners,6/18/2018,General,,,,Online,Data Science Desperation
KSM Consulting,6/19/2018,Data Science,39.77,-86.16,Indiana,Online,Data Science Desperation
CNA Insurance,6/19/2018,Data Science,39.92,-86.11,Indiana,Online,Data Science Desperation
Enova International,6/19/2018,Data Science,41.88,-87.63,Illinois,Interview,Data Science Desperation
Zurich Insurance,6/20/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
Gallagher,6/20/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
Harman International,6/20/2018,Data Science,41.88,-87.63,Illinois,Online,Data Science Desperation
Cardinal Solutions,6/21/2018,Data Science,39.2,-84.39,Ohio,Online,Data Science Desperation
JP Morgan Chase & Co.,6/21/2018,Data Science,41.82,-87.96,Illinois,Online,Data Science Desperation
Monsanto,6/21/2018,Data Science,38.67,-90.94,Missouri,Online,Data Science Desperation
dunnhubby,6/22/2018,Data Science,41.88,-87.635,Illinois,Online,Data Science Desperation
CapTech,6/22/2018,Data Science,39.96,-83,Ohio,Online,Data Science Desperation
Cummins Inc.,6/22/2018,Data Science,39.76,-86.15,Indiana,Online,Data Science Desperation
Modis (recruiter),6/25/2018,General,,,,Online,Data Science Desperation
Vizient,6/25/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
Avant,6/25/2018,Data Science,39.82,-86.16,Indiana,Online,Data Science Desperation
HERE Technologies,6/25/2018,Data Science,41.88,-87.64,Illinois,Online,Data Science Desperation
"Nexant, Inc.",6/27/2018,Data Science,41.42,-81.83,Ohio,Online,Data Science Desperation
NexLP,6/27/2018,Data Science,41.88,-87.636,Illinois,Interview,Data Science Desperation
Enterprise Solutions Inc,7/2/2018,Data Science,41.8,-88.14,Illinois,Online,Data Science Desperation
Aquilent/Booz Allen,7/2/2018,Data Science,39.92,-86.11,Indiana,Online,Data Science Desperation
Kin Insurance,7/2/2018,Data Science,41.88,-86.629,Illinois,Online,Data Science Desperation
W.L. Gore & Associates,7/2/2018,CEMS,39.62,-75.84,Maryland,Interview,Data Science Desperation
Nielsen,7/6/2018,Data Science,41.88,-87.63,Illinois,Online,Data Science Desperation
Ulta Beauty,7/6/2018,Data Science,41.68,-88.11,Illinois,Online,Data Science Desperation
Genesys Infotech,7/9/2018,General,,,,Online,Data Science Desperation
United Airlines,7/9/2018,Data Science,41.88,-87.635,Illinois,Online,Data Science Desperation
Apex Systems,7/9/2018,Data Science,41.88,-87.6372,Illinois,Online,Data Science Desperation
ThoughtWorks,7/10/2018,Data Science,41.885,-87.621,Illinois,Online,Data Science Desperation
